ID,NLC,ASC,Station,Mode,Line,Dir,Platform,Total,Early,AM Peak,Midday,PM Peak,Evening,Late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
30122,511,BSTu,Baker Street,LU,JUB,NB,Jubilee // NB,8197.145294184,63.68872094,312.1545088,2401.716019,2142.871032,1822.994686,1453.720327444,2.40587318,3.29173118,5.278270780000001,6.768385400000001,9.337499800000002,10.3687722,12.3342344,13.903954,16.986303,18.205522,19.0644634,19.9081752,21.3686778,23.0611966,24.571505,27.5536484,30.79173440000001,33.2847436,36.2339376,41.1246018,46.02927039999999,51.3577524,54.56336339999999,58.63340940000001,63.0940534,66.484352,71.935866,76.72680600000001,83.87319120000002,91.4749772,99.80308820000002,104.091825,111.5838718,115.9197186,117.1368966,117.6641106,121.192167,124.2621942,124.6476802,127.3785602,133.2541172,139.63367,145.628924,155.346154,163.799646,169.174168,172.091198,177.606548,183.329624,187.12897,189.304058,188.12812,183.28081,178.631818,174.641048,175.755024,174.6073,172.45664,166.548214,159.1361580000001,149.577232,143.014428,139.713262,136.91476,138.89327,138.986212,146.134536,157.012674,168.573492,159.511642,155.416045,147.477079,128.727165,112.611968,107.6515008,96.21729580000002,85.87505580000001,72.23078799999998,53.1481708,41.1470756,28.84510310000001,16.2668145,11.36156746,9.889711459999996,7.06986034,7.916458439999999,6.076396599999999,7.01181244,5.02899914,5.55137158,4.17217084,4.84929352,3.103249906,3.590703006,2.428440086,1.971097226
30123,511,BSTu,Baker Street,LU,JUB,SB,Jubilee // SB,15885.02668266,193.11314496,1201.1750132,7500.067070000001,3605.03505,2066.961635,1318.6747695,5.39087666,8.80395926,14.55919226,21.86777026,26.96751312,34.21972720000001,38.6346946,42.6694116,42.107074,47.51291320000001,52.02983800000001,61.70241800000001,69.62274400000001,82.85439400000001,94.864486,111.902136,129.345692,149.93002,167.791132,191.512166,212.842652,233.402922,247.81533,265.20297,275.8172,286.4079840000001,297.352882,309.62793,317.667478,337.47081,347.069724,352.4975420000001,355.060382,360.257338,349.99421,344.8257720000001,334.9324140000001,327.378614,318.8326100000001,316.5968860000001,313.5175460000001,323.817118,334.705838,336.972918,335.657708,335.0455560000001,322.37802,312.502204,304.407054,299.0635600000001,290.82804,290.97241,282.2486740000001,285.302228,279.728952,266.9006440000001,247.903822,235.71311,213.639956,195.750766,183.686228,170.752948,155.638792,143.5948220000001,134.506096,130.068765,128.081295,127.625035,126.675413,123.097629,117.612284,115.3111232,120.2307252,115.4162692,109.5303032,103.4703204,85.49001679999999,59.64921559999999,45.568121,30.89879980000001,22.9588546,18.82227332,19.00246972,14.84405022,15.83477742,10.98060922,11.8058085,8.80910036,9.82749946,6.71845598,7.2391087,5.305948460000002,4.95552468,3.57572534,3.31800882,1.7263343
360122,787,BERu,Bermondsey,LU,JUB,NB,Jubilee // NB,6453.319232199998,152.2482581,827.7838700000001,2734.8041558,1452.5579302,773.9501850000001,511.9748331000002,5.920471060000001,8.59208546,12.53805526,16.68732552,21.487288,24.0997342,28.9373888,33.9859098,37.55122059999999,40.4354204,44.9442232,51.8290094,59.1661058,63.93506980000001,71.07505400000001,83.61998919999998,89.114384,89.29396080000002,95.8191768,101.000256,101.143946,102.887474,109.598232,112.922262,116.01866,116.915626,122.472992,123.853428,127.412802,127.2382788,130.1731568,127.2970468,126.9844708,123.0065158,122.293545,117.6135802,114.1289122,109.1132742,105.6581824,102.3663244,100.3186372,99.3057352,98.09796120000001,97.9831128,98.10455479999999,97.86395279999999,99.8844868,112.4343568,120.793072,131.245708,139.448112,142.632547,136.932375,132.810791,124.718229,115.689745,107.824696,96.89487000000004,86.16580600000002,74.84388259999999,66.6360466,59.76638180000001,55.10841060000001,50.072677,47.0179278,44.6496454,42.20893340000001,42.7609078,43.1979722,44.28826600000001,46.81515640000001,48.1541616,48.3801016,43.5405844,42.9050172,38.2522882,31.7123866,21.91456232,20.73540412,12.84948172,8.442618120000002,6.300387380000001,7.298036140000002,5.2782617,5.9953431,4.56685054,5.42943988,4.350829460000001,4.56673756,3.14877834,3.6432719,2.55429158,2.72086794,2.10854502,1.93869524,0.88649684
360123,787,BERu,Bermondsey,LU,JUB,SB,Jubilee // SB,4637.840395519995,111.55410664,402.216209,1795.9202532,1039.8775496,709.2851706000001,578.9871064800001,4.78933968,7.782934280000001,12.06935768,14.422259,15.8783496,17.3896394,19.1794372,20.0427898,21.9948494,22.2753292,23.382275,23.52864900000001,24.893177,26.2566098,32.1808788,37.8506794,43.9549386,46.2217306,48.98912979999999,50.6879624,51.0301132,50.28270560000001,54.82590560000001,57.41683640000001,59.89965440000001,64.53529520000001,70.0984892,70.77691320000002,73.8522832,78.67593719999998,80.28775999999999,83.01534000000002,86.992424,90.095826,89.3184488,90.57655079999999,87.90726679999999,84.9926828,80.5871028,78.655112,77.09636400000001,77.899888,77.90254399999999,79.19881,78.654246,77.15166300000001,77.710417,84.885147,87.727633,91.815949,95.037962,93.998234,88.18164880000002,88.25099380000002,88.49682700000002,87.966829,86.5533662,82.70084400000002,76.02148460000002,67.80744659999999,60.357188,55.6664194,52.9478168,49.0933162,46.13481700000001,44.59471300000001,43.23401740000001,44.1737414,46.7547764,49.23707539999999,50.53629120000001,53.89276860000001,52.54022020000001,47.599362,45.25284260000001,41.19666420000001,33.3132108,26.06804640000001,22.7875696,16.1450244,12.6496681,9.8923313,9.1332231,7.503490640000001,8.16508224,6.93565714,6.47301268,5.546023000000001,5.772100740000001,3.9277408,3.7513688,3.6319828,3.3673492,2.87023322,2.44968716,1.59430376
30722,524,BDSu,Bond Street,LU,JUB,NB,Jubilee // NB,15444.33721758,237.3433608,855.8624894000001,4235.475847799999,3967.407808,3113.165156000001,3035.08255558,6.415852000000001,10.298294,20.6325996,25.6463604,34.3267886,41.2865158,47.43827100000001,51.29867940000001,55.1509838,58.870445,62.4485722,66.952407,68.41411500000001,71.3225546,72.30984860000002,76.30118,80.298765,80.946595,80.46897220000002,82.37805100000001,86.16824100000001,86.926702,91.746954,101.6714628,115.048304,123.658878,136.959496,148.21261,154.247184,158.200258,168.002156,172.3298720000001,180.89493,190.53444,199.22832,204.831668,214.118524,216.085358,223.747804,231.748542,238.435294,249.195406,266.354322,277.1291220000001,290.490598,302.245048,309.073318,315.9056060000001,329.4678320000001,331.090216,337.5630820000001,344.996304,350.336538,349.032296,355.5876560000001,351.6193140000001,338.827596,320.3538240000001,303.0582980000001,282.690734,265.73634,251.4021,242.646002,234.273054,229.430248,221.306844,214.933912,208.506204,206.427562,207.178804,209.450472,219.134442,206.311784,204.081014,177.505098,159.068708,131.387946,133.609592,120.66929,111.3968048,111.3049,101.30347,92.990766,74.4736386,82.1332598,64.87299060000001,69.5268126,55.8743198,58.24843320000001,45.059738,49.14236400000001,38.93496880000001,39.67300160000001,29.60512846,23.19205166,12.52519566
30723,524,BDSu,Bond Street,LU,JUB,SB,Jubilee // SB,24829.16225757998,279.7115844,1443.6765064,9007.235021999999,6644.69333,4446.253082000001,3007.59273278,8.3161024,12.2013158,22.2901078,27.9122658,37.3845682,50.2430944,58.734529,62.62960100000001,68.06180440000001,75.118314,78.1369728,86.1059108,96.57270679999999,106.1360208,117.7532928,134.45294,152.3183220000001,163.26379,175.192196,190.564236,205.743728,214.67422,239.53848,266.296114,293.6454740000001,317.405698,348.047088,367.156396,381.7646360000001,389.363666,399.757458,393.000444,395.327574,391.386826,389.625156,388.590976,407.83498,408.912974,423.831358,438.906258,449.048422,470.7043620000001,505.144312,521.5284220000002,534.107314,548.3580900000002,541.76273,536.0909800000002,543.0924,549.0861080000002,554.2668940000001,567.9542339999999,578.4376940000001,575.4463599999999,566.0657000000001,550.0248260000002,516.197234,467.6056840000001,436.1298900000001,405.6750940000001,378.94319,355.6194220000001,345.836408,332.038336,326.089384,308.821608,295.53224,277.764592,252.997094,226.442764,215.227134,214.900184,201.731318,193.76419,177.630358,165.522046,145.534052,124.2018646,120.3794886,109.371818,102.989134,84.852011,92.2193472,72.1496252,79.94841780000002,63.04740120000001,68.34187740000002,54.62888299999999,57.22255500000001,40.1618442,42.5418408,29.9106596,28.6768736,18.99164266,16.42764146,7.78066746
360322,788,CWRu,Canada Water,LU,JUB,NB,Jubilee // NB,24210.79493862001,559.9468518,3311.125114,11160.577108,4923.60116,2664.039988,1591.50471682,9.6882834,19.0760614,36.0348174,56.96764880000001,75.24611879999999,99.276782,122.351018,141.306122,153.972082,169.23374,187.085012,210.389138,231.011886,252.100732,289.245082,330.6474560000001,352.4180720000001,364.543704,382.067288,388.410922,388.532056,391.85608,416.2841360000001,439.327568,459.171934,469.5059700000001,493.8445800000001,505.553514,518.827446,521.2696559999999,535.30656,535.49531,528.8370719999999,503.814062,493.1933480000001,476.674028,462.5256760000001,446.1858040000001,444.6772600000001,433.621094,427.5158940000001,423.488618,422.362538,422.706904,433.082376,425.100636,414.994436,411.37224,408.476824,399.014006,401.867486,411.844004,420.362186,414.4333340000001,399.704354,383.349278,356.266722,320.142308,291.0850760000001,262.073612,231.83154,205.006746,187.690002,170.94794,161.87343,158.123328,157.844448,161.154836,172.255656,178.74045,178.42494,167.848112,163.212922,146.289578,125.000238,104.4360134,87.6296608,58.33971606,39.00857546,24.40730346,18.03016366,13.95680666,16.2262,12.51838386,14.32018206,10.13083406,10.62757866,7.40878782,7.83902956,5.07507182,6.060440420000001,4.761231620000001,6.126346460000001,5.114038700000001,4.60745624,3.10900004
360323,788,CWRu,Canada Water,LU,JUB,SB,Jubilee // SB,15330.66946078,363.9753624,1505.9161376,6437.520224000002,3483.995774000001,2221.510406000001,1317.75155678,8.874395199999999,16.5752756,32.9578616,39.1317708,54.4941934,65.5019522,73.3363458,73.10356780000002,82.1642618,77.09833780000002,83.210725,88.58483820000002,94.828887,104.133815,129.317572,145.23484,163.4619948,172.151178,183.71916,182.010528,187.733794,188.36982,204.408494,215.550402,231.975392,240.852822,258.247826,270.01482,281.8802100000001,282.0466600000001,283.2547840000001,281.7905260000001,280.033578,280.465258,284.0392180000001,291.093334,297.727594,298.489388,294.900392,297.818642,297.676458,296.34876,296.377398,296.4246540000001,298.6815400000001,301.096324,297.865744,299.493418,301.3627340000001,295.894258,291.809398,289.401818,283.572064,279.853348,277.964402,267.000726,260.230432,249.097344,240.886556,219.8435780000001,205.8205,186.400358,173.150386,151.9915792,144.3900632,132.6378232,129.9012552,127.1605312,133.978886,134.935782,138.177072,130.658454,124.919731,111.601365,103.511562,83.02248639999998,67.42096240000001,51.2674128,34.5450802,19.5214584,16.9378966,19.3227506,15.8343276,16.8105306,13.02447548,14.03435168,9.25876662,12.16240462,9.97352992,10.75468064,8.77825138,10.55374224,7.287952559999999,8.13728106,6.00599426,5.31436872
80722,852,CWFu,Canary Wharf LU,LU,JUB,NB,Jubilee // NB,24049.59089152001,345.3449281600001,2310.1420876,10533.715842,5498.52768,3085.540992,2276.31936176,9.11845772,19.41039572,28.71888492000001,39.60150100000001,47.26594000000001,55.53355920000001,66.59112840000002,79.10506120000002,91.82135320000002,104.0711392,118.2957292,134.835962,152.12474,169.351866,194.727616,227.060746,249.200394,266.468894,287.509724,314.673924,332.565104,347.7529560000001,367.201192,386.500166,395.219638,406.444488,421.3083140000001,438.874128,454.550868,468.7526360000001,479.953086,487.2939440000001,489.405242,482.6557060000001,473.9644860000001,461.945996,452.9264720000001,442.9094980000002,440.12735,443.2931640000001,449.98359,462.71987,472.577822,474.790126,473.706128,465.9802120000001,458.759932,456.781186,459.132646,454.458062,459.016442,459.296622,464.8024559999999,462.43826,452.7119280000001,431.4438060000001,398.656446,356.817224,317.7543320000001,289.536486,264.350644,243.396304,227.598868,216.450086,201.401618,191.741782,189.169732,188.66747,179.137312,188.151554,194.755612,195.037496,193.629792,183.335168,177.410886,158.655052,144.581354,122.55367,109.2257972,85.36271920000002,65.4088122,49.58274260000001,35.39610880000001,36.42617620000001,24.785789,25.496946,18.69350792,18.79445632,11.8194092,12.0443604,8.56207456,8.973789440000003,7.014882180000002,8.758318899999999,6.6730269,6.052548740000002
80723,852,CWFu,Canary Wharf LU,LU,JUB,SB,Jubilee // SB,14483.81820918001,286.27117088,724.5004544000001,5001.0544024,3738.998142000001,2679.562868,2053.4311715,4.840129360000001,12.93449536,34.17835136,39.4776894,45.42055620000001,50.83105400000001,55.2154286,43.3734666,44.49719740000001,45.662672,47.97601,45.01485600000001,45.02901720000001,49.60303300000001,55.27938639999999,63.8130072,71.3014786,77.2780046,85.86030400000001,93.185488,97.7499672,108.2255812,125.446308,142.792804,156.678728,170.935676,179.325528,185.595668,190.351756,206.10807,215.99657,231.088122,238.154394,242.418524,236.633746,244.371368,241.587622,244.594396,246.431954,248.604932,246.440474,255.347032,265.567588,280.607594,293.7494240000001,300.909768,308.151028,316.431998,312.639678,312.9623820000001,317.1332500000001,312.524022,306.067042,316.852858,324.80892,316.7677720000001,308.615728,291.4812560000001,266.0474840000001,232.767168,218.56004,202.34057,199.167208,191.154296,187.934474,185.571246,193.10845,202.814948,203.353876,202.821674,193.93889,175.068704,161.38356,143.3142708,142.1519848,130.7096548,126.4952888,104.2295988,92.086147,70.49858499999999,56.3892414,44.38397240000001,32.6435526,33.2000522,24.767037,24.7115986,18.00387594,17.53264094,10.45997094,9.81137514,6.468402300000001,6.597224960000001,5.639303760000002,6.95566616,5.23704916,4.577974000000001
