NLC,ASC,Station,Fare Zone,Total,Early,AM Peak,Midday,PM Peak,Evening,Late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
511,BSTu,Baker Street,1,25915.71119251044,465.5098419095459,3456.670133554833,13248.11466340266,4699.305155192961,2461.759547733488,1584.351850716941,14.29290989899964,21.29034870439964,32.25053395839964,43.78365198004376,62.40835470082143,78.0876208491568,97.48175594339682,115.9146658743282,136.5094510624532,151.3956830855119,160.0318290923535,176.6604255494204,207.1211255447973,245.2405759832458,280.5934140412929,333.2982454348986,392.2556724930318,437.5887525493544,452.5299539027366,483.4450048157367,511.5262712304875,526.9902091251319,540.364494759301,576.601545977301,601.2538783029341,619.5952655238937,625.0665698812093,631.2886056104093,637.1058420204472,642.2571736165879,639.789741597452,641.845209450652,636.509739715672,625.135525062424,596.1434803936501,568.134689698488,538.3640495311039,510.5108173040641,477.706387359274,452.077591863302,425.5186699456241,410.913395028508,406.456674938928,406.958835465808,413.2144240900801,420.6624769944801,419.2256629123841,413.502638665624,410.796107005344,406.931961241304,398.1102748635039,390.77837391064,380.2831820921601,363.18897310586,347.7067269686,334.90435334298,316.7449307471001,295.186611384536,271.557798312236,245.318542631808,220.295027465696,199.306655619927,178.364357067331,162.214330207331,153.050183435759,144.68484883122,137.992739092329,137.0435229382156,142.2863733782156,146.398639421459,147.586330297576,148.6168151146108,142.7874923607243,131.9607747115474,115.305264280304,100.835403137858,87.72543524082317,74.40519372082316,58.00540333,48.27905879,36.84522714,28.13135684000001,22.2043919,21.88448722000001,17.58246692,16.98131778,13.84939516,14.14405154,12.16515656,12.006988988,10.254380048,9.692844907999998,7.867390128,7.552604419000001,5.225625591000002,3.771981791
787,BERu,Bermondsey,2,11281.7499529,229.40912712,841.6194074,3992.9869878,2596.6274528,1842.5302372,1778.57674058,6.48534702,12.65392114,19.25417914000001,25.19283078,33.44569772,39.80550132,43.0351106,49.5365394,55.23735599999999,58.1385702,59.882804,65.5753358,68.787193,71.37208380000001,72.8521552,74.6629236,76.6292274,77.9596898,78.5215418,82.00052680000002,86.2283294,88.30633740000002,91.41796020000001,96.9898834,104.9975594,115.8927058,126.5312902,137.471077,152.7668686,174.7558766,184.4017106,193.5936972,201.1532292,204.180977,195.9267488,196.5501856,199.6702516,203.1250976,204.5949458,205.984884,205.6420724,204.4448664,207.2449664,211.1154672,212.2426852,217.007857,223.179353,220.024475,216.7648374,219.3811054000001,215.3644934,213.6768274,217.1141114,215.507977,212.2474778,214.1162528,202.6744154,187.3206004,178.4621024,171.6230748,159.5838476,150.373946,144.2709664,136.5849824,127.7489612,125.748474,127.628593,130.5102736,135.6875436,139.7419002,141.060227,140.0768388,135.0669068,128.4130996,120.1049714,108.1833612,100.4776702,85.91639819999999,75.6665616,58.82848163999999,51.26713084000001,37.36423918000001,36.93754764,26.73376882000001,30.88276612,24.730614,26.70298914,22.0423989,24.95651136,18.88475536,20.40654575999999,17.03002414,23.47834016,18.63462536,16.99026162,12.31026194
524,BDSu,Bond Street,1,58420.13572247412,1281.821953606314,7031.604299814794,31787.26152143364,12229.86270386675,4711.003408266171,1378.581835486476,6.46496119,30.2598143388,54.62109382679999,101.2432452448,169.2919936192,247.15138965728,301.23072855008,371.558727179354,414.4772052700421,444.580672489642,445.9014615375621,464.2235167634619,478.884756136388,510.3457356863,533.9710520049,595.012644199588,684.3824325090881,763.59814429205,815.304581340606,880.922097585166,956.2843734404779,1001.967657622078,1043.150499864916,1114.62141734576,1190.851634173,1258.32219756712,1310.94787507452,1384.35622562452,1436.89218626252,1490.92771954012,1518.3349956728,1535.9651561081,1527.6115258441,1508.0163443041,1448.5808630077,1407.8106067617,1387.7649918864,1359.5128811847,1342.3384705517,1331.5707621161,1315.5807074273,1314.0193445805,1317.0137797882,1284.8193056852,1275.1528627012,1247.2046575192,1168.836025904,1106.84110521032,1086.89081388632,1038.82857037832,984.18512032032,959.6143578469799,912.6837474406601,863.274648331276,815.489783576676,770.861010751476,703.114951116416,638.1370088078801,565.6907988892641,500.67007959459,435.879709808922,382.96313905012,333.2041404106561,290.843647696274,252.4315227789496,223.2724625631656,197.6207716149676,187.1751759349676,172.0874184871496,160.561852423948,148.1738109548238,141.8208454363358,122.6165446103358,107.6322930897358,92.84585855153584,80.41475160431237,66.37270242420037,58.65541373020037,47.59710788100036,36.19814986100036,28.02901353,19.14203768600001,13.6556878382,11.3759609232,12.1419367032,9.339851275200001,10.0464655692,7.393828143,7.020315903274001,4.637578266274001,4.782823082274,3.1295129784206,4.0831339518692,3.4229736585952,3.169552835595201,2.234414087595201
788,CWRu,Canada Water,2,16587.247955688,262.29206694,1058.91988684,5785.748692800001,3834.0760926,2730.32136484,2915.889851667999,11.541512,14.830660976,20.26974688,29.55369378,34.49377504,42.7623109,49.233088724,59.60727864,63.72606252000001,69.03982474,66.90207342,72.6624549,77.85082812,80.54989714000001,84.51643562000001,93.26905116,102.87753028,108.72641464,115.39169658,123.40761772,133.8077806,142.3947072,150.3554192,169.8711982,199.5283942,225.515439,242.9886214,256.4392542000001,257.2504062,252.3865982,246.9171004,247.6837620000001,253.4702,263.5696624,267.683049,272.5610318,275.9455944,277.0300024,271.5020844000001,269.2041984000001,267.163368,270.9672776,280.6572832,290.8562604,302.5066586,313.5267724,320.2609052,315.1078704,324.6270922,330.7328446,332.8086746,329.9295604,335.6975142000001,323.0180726,309.9460074,295.91412,283.4148554,268.02625272,260.1393216,246.8413088,234.4431802,223.5424652,215.13013714,203.2193092,197.8674945,199.92116438,200.45463218,197.32124352,204.57559632,207.04706654,208.93749576,205.71936322,210.45267972,203.12085752,196.6597142,179.49380858,168.35956726,145.248506488,122.414100248,104.090501828,87.743991388,77.126223872,66.112501652,65.664161872,59.39589068600002,61.60298630600001,52.53826592,53.19801459200001,44.26246616,42.090879306,33.206070758,33.386910052,26.96929749,25.492177574,17.476852234,13.503904122
884,CNTu,Canning Town,2/3,19663.81344577,392.39197732,1142.47742588,5293.44956162,4299.235242940001,3747.715755296,4788.543482714001,19.70355888,30.45663484,46.45543187999999,51.13631516,57.62306547000001,62.12333269000001,63.44753335000001,61.44610505000001,65.14523999000001,67.06850163399999,66.759352914,68.08713213399999,72.28881105399999,79.00411209399999,86.67630408,103.80787508,118.9866378,133.46433852,138.13520496,143.05391562,139.31770896,140.39615576,135.32237768,141.59597954,151.7599541,161.81589076,169.05923614,178.54824572,184.84552384,193.92605918,202.24249002,214.27222968,228.46687102,244.7146177,251.57938634,261.8569206400001,267.68889142,274.2320854,274.17047436,278.0410539600001,282.8079369200001,293.7398416800001,305.4675229200001,317.58210788,333.6368654600001,347.99595532,352.2781637200001,355.78580828,365.80840402,370.8899612,369.51157964,370.8421793,368.15830336,361.7054565399999,352.9373213,349.6852448000001,344.5335131799999,337.72732626,328.76441742,323.25049336,314.3361386,307.11935908,299.00909878,299.0458925200001,295.910158694,294.1888226940001,296.486724414,307.343810294,304.692668294,314.3426577600001,323.33620258,330.60180682,320.36438292,313.83529418,292.27567282,260.15569356,232.53499104,203.69684758,173.47104534,153.79904686,156.20295746,133.44542216,143.6336428,137.8053296,134.1410626,106.71351874,115.47298754,89.29524053999998,92.02813754000002,77.46855326000001,81.00978192000001,66.92294452000002,76.74632642,62.7275593,53.19466358,38.62904498
537,CPKu,Canons Park,5,2786.778180655599,39.144169482,170.9499431916,802.173969014,643.49103614,554.722753052,576.296309776,1.6194832522,2.5816423612,3.7096219612,4.687842698,5.171677038000001,6.323245045000001,7.058438498000002,7.992218628400001,8.795428904400001,10.0112307564,9.9863584324,10.4736720824,11.448422884,12.942658736,14.495729888,16.17459683,18.635822972,19.59195938,19.260581634,19.133480692,18.797592232,17.014972678,16.99746079800001,17.498499816,17.972722434,19.951816148,22.345198608,22.914790622,24.806568674,26.64440502600001,27.80276089800001,29.128763498,32.417373544,35.11568905200001,39.98806666000002,43.68464636000001,47.97281108000001,50.059823372,51.507831852,51.167411002,50.133206462,46.53226307000001,45.844607078,45.87468805,45.19503005800001,45.582769984,47.87197089600001,49.173434356,48.04301231399999,51.905648496,52.82508323,58.86789235,59.119173266,63.865864896,59.22617057,61.814985724,55.19028024999999,54.68499845000002,49.50640539400001,50.49906173,47.23088145000001,46.463904438,44.74499258199999,43.731154184,42.034237914,40.6192113,40.26894024,39.74868512,39.64000588600001,42.60208188200001,42.51460681800001,41.994291104,42.26141327,44.120167478,37.89790552200001,37.30922446600001,37.12563790599999,32.200816134,28.170266534,24.61205879,20.9681551372,14.8799766644,13.6664494504,9.7221098224,10.9097049664,7.798742839200001,8.605252794000002,7.263366876,7.082161504000001,4.970617504000002,4.839006744000002,3.465528722,3.84169334,3.107279934,2.632109934,2.095677754
558,DHLu,Dollis Hill,3,3878.787605652401,71.2809798,231.89726958,1090.573788,931.9500163,772.48544754,780.6001044324003,3.1976326,4.65050282,6.443067740000001,8.717564779999998,10.0214685,11.58980822,13.2255712,13.43536394,13.857605,14.74569526,14.80275846,14.83851466,17.3525066,18.6650104,19.971798,21.6128296,23.5129326,24.3535004,23.893028,24.2910906,25.5859158,26.88161400000001,27.56946080000001,30.4547574,32.13841000000001,33.0774272,33.861936,35.676111,37.5028547,40.4277197,43.67480550000001,46.48284070000001,49.68163590000001,51.480428,52.27008600000001,52.86943200000001,53.78162400000001,54.5110164,55.608965,56.857231,58.510904,61.06212799999999,63.92463499999999,66.6818499,71.15477070000001,73.32872890000002,76.0671647,77.54452730000001,79.36555320000002,80.3352083,81.1223407,79.55687790000002,79.25690510000001,78.2936159,77.8687608,78.0555628,78.02142260000001,77.4883521,72.74345456,69.51300409999999,65.13786250000001,64.0390859,58.96389600000001,60.81066506000001,56.76245524000001,58.10945476000001,53.83498256000001,57.06081216000001,53.98494350000001,59.55008818000001,58.31582314000001,59.76319294000001,57.76663266000001,57.44470760000001,53.15756,48.08575254000001,44.94695178000001,38.42005498000001,34.619216786,29.031430126,25.076011226,22.060634606,18.44809252600001,15.604241774,11.918473884,12.44415704,9.222045574000001,10.408543954,9.188959432,10.464725228,8.710602272000001,9.31104209,7.619430793200001,7.148577204400001,4.393870758400002,3.4943418384
579,FRDu,Finchley Road,2,9416.51944162766,183.257650272253,1051.85510092605,3508.677621239737,2243.145260163335,1324.02994376203,1105.553865264256,3.854317312,7.286536615024492,11.63377652147719,17.10135777547719,24.29295737885095,32.44455497285094,39.26561193151245,47.37853776505975,55.08565813371974,63.01313416734601,66.35366266447649,69.95272336499048,75.45356168699048,81.4992159038295,87.86852594852358,98.18946880427173,108.8008366560492,114.8919472180765,115.2969719224661,115.4493944553108,115.419038957469,114.2611641500915,112.5906807476562,115.6668702991676,119.7248848320288,125.985516644192,131.0440982701,136.754500791508,142.292794322108,147.010306928708,150.216728943508,153.7531788762,159.191291448,161.7411108674,161.9911251574,160.6090056314,162.6029656082,162.3615851754,160.5600467020001,160.2264386796,161.1543171056,161.3670839016,163.0292391216,169.1236480788,176.4434716178,183.6719969314,188.406954223027,194.447694849827,197.959517400627,198.876932140027,197.303624245027,194.6302357154,186.8872650046,181.9059822274,175.4971415634,167.1144442448,157.2280478518,148.4019562386,135.928604452346,123.733266216746,114.378513314746,106.455089826946,98.196074905146,92.1274542696,89.18523767779999,86.06301266269999,85.53243125610001,86.8002550895,90.79149933595102,92.26382793975101,92.74719850493861,92.9021038163386,91.55709132253861,88.01023753967178,80.01793194824026,72.20600143295265,63.26481610895266,53.94444940635265,42.35696352776849,33.71326436479999,28.224731712,21.762718512,18.067151092,15.05105788,15.37250942000001,13.02033722,13.4126328,12.22652388,12.47225134,11.2884837,11.49069444,9.96419592,10.04833062,8.507962299999999,6.500889899999999,4.368009280000001
590,GPKu,Green Park,1,42670.12103126604,1107.806649016,5789.05035526,22206.676679,8257.8838488,3564.2189002,1744.48459899,16.560200792,38.916274772,64.960067992,105.55111896,157.6279536,204.01479776,237.20191858,282.97431656,318.59029886,337.476648,348.88741,372.4618714,393.7581776000001,413.0653238,444.6975160000001,501.6111874000001,583.8536092,646.9247468,686.9975486,740.7260176,789.552908,806.2892477999999,819.3544398000001,870.5227490000001,916.788789,954.0480028000001,978.0614302000001,1005.395336,1016.474021,1019.713677,1010.840719,1012.5511248,1011.139652,1011.357053,973.182481,953.802619,926.5879020000001,922.009122,885.004484,886.302279,865.2666266000001,874.6109666000001,852.3309406000001,845.4901088,812.902189,798.020621,745.3893340000002,717.394432,697.5147058000001,691.8652066000001,663.6353746,664.1008544000001,646.4001552,634.2476434,601.8199582,584.5933746000001,529.7036439999999,478.4815124,416.1252868,369.376282,319.1418146,279.8181808000001,244.0966705,217.7890255,195.8740989,176.6117492,168.5293334,168.6713021,170.4148685,172.3426885,170.1615726,163.2226722,148.7059246,127.0685944,108.88078972,92.98975336,81.81016188000001,67.47591568,59.19101524000001,49.83635094000001,43.59347902,34.94690634,34.26342406600001,29.888508032,27.799934084,23.465571216,22.594408716,19.95212083,18.992578144,15.467686124,14.776709792,12.469176486,10.956166684,9.794765420000001,7.877424968000001,5.545431448
622,KILu,Kilburn,2,7467.639359230054,137.8775609934503,556.1543889133001,2198.435920554999,1674.217673080449,1380.536764783556,1520.417050904301,4.49783602062654,6.97420168524394,10.53885113708746,12.75034685777006,17.53659791377006,23.04959887234352,27.77691404472612,34.7532144618826,38.6866590932,40.8257852992,40.34472160910001,40.2933930781,38.57621166630001,40.9902823307,44.3409569527,48.0203041596,53.0029109656,56.65880642320001,57.0179585308,57.3963988048,59.89611500000002,59.961178796,60.0298692412,63.7230044752,67.07794847059998,68.75739042940002,71.2619464714,75.23370009540001,79.00186257340002,84.108826858,91.24805830399998,97.78852603499999,103.691381691,107.179592255,108.530923595,107.223364709,107.413013361,105.7519692884,106.0363109224,107.5562912308,111.8103271378,114.2106799648,119.2685723334,121.6750673168,125.934640789307,130.376472906307,135.833991301507,137.960311676107,144.257740614307,145.7030760126,144.4965179176,141.6383985344,142.4708297238,141.8208480096,142.282412867062,141.442432727852,142.057540376738,136.760817198738,130.238454519804,123.539664841142,119.052731602162,112.251780226516,108.622599921076,104.13821874621,102.35995099711,99.90832402350001,99.86171769065999,101.7449646399,105.76115192618,109.18745916068,114.41858523748,113.83302418028,113.32199647448,109.2803332606,103.2176433452,89.5538021552,88.47190571084002,77.29399015084002,67.70989857084001,54.53672082284002,51.61370516284001,37.581595466,33.684346074,28.359224096,29.976970464,24.130520994,25.09938780000001,21.31276677,22.813373568,18.612987464,19.48064035,15.613871918,15.85020084,12.58578981,10.464345494,6.650813638000001
